,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1211,11/1/2019,57.13560813,55.98853302,58.30454777,,,nan%
1212,11/4/2019,57.13704342,55.92015445,58.27860501,56.914841,-0.222202424,-0.39%
1213,11/5/2019,57.18708595,55.92808543,58.39315571,56.615974,-0.571111949,-1.01%
1214,11/6/2019,57.18737431,56.03706152,58.42873699,56.874992,-0.31238231,-0.55%
1215,11/7/2019,57.24173284,56.03948258,58.44498303,56.685707,-0.556025839,-0.98%
1216,11/8/2019,57.27221587,56.09361844,58.45811704,56.596046,-0.676169874,-1.19%
1217,11/11/2019,57.28244684,56.13724407,58.50503337,56.476498,-0.805948837,-1.43%
1218,11/12/2019,57.33806884,56.1258559,58.54246258,56.456573,-0.881495842,-1.56%
1219,11/13/2019,57.3453225,56.16453671,58.49215688,56.894917,-0.450405497,-0.79%
1220,11/14/2019,57.40799239,56.16780971,58.60365185,57.074238,-0.333754391,-0.58%
1221,11/15/2019,57.44804001,56.29185304,58.59115225,57.203747,-0.24429301,-0.43%
1222,11/18/2019,57.49278471,56.3176747,58.69510892,57.300564,-0.192220709,-0.34%
1223,11/19/2019,57.56105053,56.38814277,58.72913174,57.300564,-0.260486534,-0.45%
1224,11/20/2019,57.58101804,56.37857013,58.82751295,57.280602,-0.300416042,-0.52%
1225,11/21/2019,57.65612687,56.45254945,58.89467492,56.94125,-0.714876865,-1.26%
1226,11/22/2019,57.70797492,56.63234999,58.95446871,56.951233,-0.756741919,-1.33%
1227,11/25/2019,57.78057371,56.62503735,59.01158802,56.911308,-0.869265714,-1.53%
1228,11/26/2019,57.85441246,56.78673965,58.98760559,57.330505,-0.523907457,-0.91%
1229,11/27/2019,57.87755519,56.75806569,59.08384086,57.450279,-0.427276191,-0.74%
1230,11/29/2019,58.00263214,56.80995371,59.24132438,57.350468,-0.652164137,-1.14%
1231,12/2/2019,58.04935071,56.87937739,59.12669953,56.811497,-1.237853715,-2.18%
1232,12/3/2019,58.10819112,56.91707391,59.25817809,56.851421,-1.256770118,-2.21%
1233,12/4/2019,58.11325765,57.00960987,59.29513552,57.160831,-0.952426646,-1.67%
1234,12/5/2019,58.16788938,57.00978477,59.34510093,57.320526,-0.847363378,-1.48%
1235,12/6/2019,58.19370041,57.01755837,59.2397341,57.440296,-0.753404408,-1.31%
1236,12/9/2019,58.15679926,56.96382142,59.34926217,57.400372,-0.756427261,-1.32%
1237,12/10/2019,58.18492721,57.01660451,59.41364287,57.280602,-0.904325212,-1.58%
1238,12/11/2019,58.15865998,56.95655657,59.28123223,57.120907,-1.037752982,-1.82%
1239,12/12/2019,58.18185941,56.93924764,59.29466789,56.991154,-1.190705412,-2.09%
1240,12/13/2019,58.17667646,57.01405458,59.32503523,57.230698,-0.94597846,-1.65%
1241,12/16/2019,58.05476193,56.8478164,59.22724933,57.550087,-0.504674926,-0.88%
1242,12/17/2019,58.0588973,56.87265416,59.22954139,57.480221,-0.578676296,-1.01%
1243,12/18/2019,58.01157076,56.85508782,59.14939443,57.590012,-0.421558763,-0.73%
1244,12/19/2019,58.01702908,56.82424376,59.15732653,57.809589,-0.20744008,-0.36%
1245,12/20/2019,57.99774825,56.8305057,59.0805765,58.118999,0.12125075,0.21%
1246,12/23/2019,57.85761602,56.72687009,59.01950544,57.779999,-0.07761702,-0.13%
1247,12/24/2019,57.86406791,56.69057791,59.00504537,57.860001,-0.004066914,-0.01%
1248,12/26/2019,57.8392541,56.63588482,58.98958451,58,0.160745901,0.28%
1249,12/27/2019,57.83438978,56.61686645,59.09405223,58.18,0.345610224,0.59%
1250,12/30/2019,57.75770191,56.6088661,58.8829407,58.080002,0.32230009,0.55%
1251,12/31/2019,57.7907649,56.5946716,58.97049348,58.34,0.549235104,0.94%
1253,1/2/2020,57.82464874,56.64289586,59.02148511,57.919998,0.095349263,0.16%
1254,1/3/2020,57.85087694,56.58482136,59.04908352,58.02,0.169123059,0.29%
1257,1/6/2020,57.86841112,56.69905928,59.12042077,58.080002,0.211590885,0.36%
1258,1/7/2020,57.93160376,56.81878,59.18169758,57.740002,-0.191601763,-0.33%
1259,1/8/2020,57.94814515,56.78918679,59.19639901,57.91,-0.038145146,-0.07%
1260,1/9/2020,58.02129957,56.91576134,59.22528386,58.200001,0.178701433,0.31%
1261,1/10/2020,58.07252524,56.88530976,59.29826704,,,nan%
1264,1/13/2020,58.15051659,56.94564035,59.28356322,,,nan%
1265,1/14/2020,58.22857783,57.11820379,59.37527381,,,nan%
1266,1/15/2020,58.25728805,57.1230736,59.38502611,,,nan%
1267,1/16/2020,58.33997097,57.19650507,59.65881378,,,nan%
1268,1/17/2020,58.39820245,57.22401985,59.55706136,,,nan%
1272,1/21/2020,58.56112543,57.37720966,59.81956204,,,nan%
1273,1/22/2020,58.58761487,57.5029042,59.80518939,,,nan%
1274,1/23/2020,58.66712858,57.3438277,59.83705669,,,nan%
1275,1/24/2020,58.72157503,57.49305656,59.85693776,,,nan%
1278,1/27/2020,58.79556274,57.57561582,60.02841296,,,nan%
1279,1/28/2020,58.86957324,57.63515322,60.19004497,,,nan%
1280,1/29/2020,58.89380085,57.60468351,60.11296339,,,nan%
1281,1/30/2020,58.972099,57.63770261,60.21752215,,,nan%
